PAPGLB_FRIEND	PAPRELIGION	PARTNER_RACE	PPMARIT	PPPARTYID3	PPREG9	PPRENT	Q12	Q29	Q7B	RESPONDENT_RACE	PAPGLB_STATUS	AGE_DIFFERENCE	CHILDREN_IN_HH	DISTANCEMOVED_10MI	GENDER_ATTRACTION	HHINC	HOW_LONG_AGO_FIRST_COHAB	HOW_LONG_AGO_FIRST_MET	HOW_LONG_AGO_FIRST_ROMANTIC	HOW_LONG_RELATIONSHIP	PARTNER_MOM_YRSED	PARTNER_YRSED	PPAGECAT	PPHOUSE	PPHOUSEHOLDSIZE	Q21A	Q21B	Q21C	Q9	RELATIONSHIP_QUALITY	RESPONDENT_MOM_YRSED	RESPONDENT_YRSED	ZPFORBORN_CAT	ZPNHBLACK_CAT	ZPNHWHITE_CAT	CORESIDENT	GLBSTATUS	MARRIED	MET_THROUGH_AS_COWORKERS	MET_THROUGH_AS_NEIGHBORS	MET_THROUGH_FAMILY	MET_THROUGH_FRIENDS	PPHHHEAD	PPMSACAT	PPNET	Q24_MET_ONLINE	Q31_1	Q31_2	Q31_3	Q31_4	Q31_5	Q31_6	Q31_7	Q31_8	Q32_INTERNET	SAME_SEX_COUPLE	US_RAISED	ZPRURAL_CAT	PARENTAL_APPROVAL	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	EITHER_INTERNET_ADJUSTED	PAPEVANGELICAL	Q13A	Q25	Q26	Q27	Q28	Q7A	Q8A	SUCCESS
1	3	1	6	3	3	2	2	4	2	6	1	4	0	10	4	22250	7	7	7	7	12	14	4	3	2	45	45	45	48	4	16	16	1	1	3	1	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	nan	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	1	1	1	1	0	1
3	5	1	6	3	9	2	2	1	13	1	1	2	0	2510	3	45000	6	9	8	8	16	16	2	3	2	19	20	22	30	4	20	17	3	3	0	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	1	1	1	1
3	12	1	5	3	5	1	2	1	12	1	1	9	0	1790	5	45000	8	8	8	8	12	12	2	3	1	23	23	23	40	4	16	14	3	3	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	1	0	1	nan	1	1	1	1	-1
1	2	1	6	3	4	1	2	3	13	1	1	2	0	60	4	137250	12	12	12	12	13	17	4	1	2	41	41	41	55	4	17	16	2	2	2	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	1
3	2	1	4	3	5	2	2	2	2	1	1	7	0	220	4	17250	28	30	30	30	13	17	5	3	1	28	28	30	51	4	13	17	1	2	2	0	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	1	1	1	1
1	2	2	6	3	9	1	2	1	2	1	1	9	0	1950	5	200000	15	15	15	15	12	17	4	2	2	38	38	38	44	5	16	20	3	2	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	0	1
3	12	1	1	3	4	2	3	1	12	1	1	0	0	2230	2	80000	12	16	14	14	17	16	2	1	2	18	20	22	34	5	14	16	2	1	2	1	1	1	0	1	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1
1	11	1	3	3	8	1	2	4	12	1	1	15	0	10	5	45000	nan	14	14	14	12	13	6	1	2	51	51	nan	50	5	12	17	nan	nan	nan	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	nan	nan	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	-1
3	2	1	3	3	4	1	2	4	2	1	1	3	0	920	5	45000	nan	0	0	.15000000596	13	16	4	1	2	49	49	nan	46	3	16	16	3	2	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	nan	0	0	0	0	0	1	0	1	1	0	1	1	1	1	1	0	-1
1	13	2	5	3	9	2	2	3	-1	1	1	6	0	2070	5	45000	nan	2	2	2.5	16	12	2	3	1	31	31	nan	27	4	17	20	3	2	1	0	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	nan	1	1	1	-2	-1
1	12	1	5	3	7	1	2	1	13	1	1	2	0	180	5	2500	nan	0	0	.15000000596	13	16	4	1	1	50	50	nan	52	4	17	11	2	2	1	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	nan	1	1	1	1	-1
3	3	1	1	3	1	1	2	1	3	1	1	7	0	nan	5	137250	10	13	11	11	12	12	3	1	3	25	27	28	45	5	17	17	3	2	1	1	1	1	nan	nan	nan	nan	1	1	1	nan	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	1	0	1	nan	1	1	1	0	1
3	12	1	6	3	9	2	2	3	8	2	1	1	0	10	5	112250	3	4	4	4	16	13	4	3	2	44	44	45	47	4	13	13	3	3	0	1	1	1	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	-1
